op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
70,BinaryMap,BinaryMap_70 (fn: Mul),315.0,296,-19.0,320.0,321,1.0,5.0,25,20.0,2.0,2,1.0,1,24,24,24,0,297
71,BinaryMap,BinaryMap_71 (fn: Mul),,296,,,321,,,25,,,2,,1,24,24,24,0,297
72,BinaryMap,BinaryMap_72 (fn: Mul),302.0,296,-6.0,318.0,321,3.0,16.0,25,9.0,2.0,2,1.0,1,24,24,24,0,297
73,BinaryMap,BinaryMap_73 (fn: Mul),310.0,296,-14.0,324.0,321,-3.0,14.0,25,11.0,4.0,2,1.0,1,24,24,24,0,297
74,SelectGen,SelectGen_74,,0,,,0,,,0,,,8,,0,0,0,0,0,0
75,FlatReassemble,FlatReassemble_75 (0 D),304.0,297,-7.0,334.0,339,5.0,30.0,42,12.0,8.0,8,4.875,0,6,6,24,0,297
76,Accum,Accum_76 (1 D) (fn: Add),314.0,297,-17.0,343.0,340,-3.0,29.0,43,14.0,8.0,8,1.0,1,6,6,24,0,298
77,OffChipStore,OffChipStore_77,316.0,298,-18.0,356.0,346,-10.0,40.0,48,8.0,8.0,8,5.0,0,6,6,6,0,304
78,Broadcast,Broadcast_78,,27,,,27,,,0,,,1,,0,24,24,0,0,27
79,Broadcast,Broadcast_79,,27,,,27,,,0,,,1,,0,24,24,0,0,27
80,Broadcast,Broadcast_80,,27,,,27,,,0,,,1,,0,24,24,0,0,27
81,Broadcast,Broadcast_81,,27,,,27,,,0,,,1,,0,24,24,0,0,27
82,Broadcast,Broadcast_82,,27,,,27,,,0,,,1,,0,24,24,24,0,27
83,Broadcast,Broadcast_83,,27,,,27,,,0,,,1,,0,24,24,24,0,27
84,Broadcast,Broadcast_84,,27,,,27,,,0,,,1,,0,24,24,24,0,27
85,Broadcast,Broadcast_85,,27,,,27,,,0,,,1,,0,24,24,24,0,27
